PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40136630,Non-Uptake of Newborn Screening in Planned Homebirth Is Associated with Preventive Health Practices for Infants: A Retrospective Case-Control Study.,2025 Feb 21,,,
40136618,Lifestyle and Biochemical Parameters That May Hamper Immune Responses in Pediatric Patients After Immunization with the BNT162b2 mRNA COVID-19 Vaccine.,2025 Mar 10,,,
40136608,"SGLT2 Inhibitors in COVID-19: Umbrella Review, Meta-Analysis, and Bayesian Sensitivity Assessment.",2025 Feb 21,,,
40136548,Modulatory Effects of the Recombinant Middle East Respiratory Syndrome Coronavirus (MERS-CoV) Spike S1 Subunit Protein on the Phenotype of Camel Monocyte-Derived Macrophages.,2025 Mar 13,,,
40136472,The Use of Heterologous Antigens for Biopanning Enables the Selection of Broadly Neutralizing Nanobodies Against SARS-CoV-2.,2025 Mar 7,,,
40136452,Structure-Based Identification of SARS-CoV-2 nsp10-16 Methyltransferase Inhibitors Using Molecular Dynamics Insights.,2025 Mar 17,,,
40136439,"Anti-Infective Screening of Selected Nine Cannabinoids Against Clostridium perfringens and Influenza A (H5N1) Neuraminidases, and SARS-CoV-2 Main Protease and Spike Protein Interactions.",2025 Mar 12,,,
40136436,The Legacy of COVID-19 in Breast Milk: The Association of Elevated Anti-Inflammatory and Antimicrobial Proteins with Vaccination or Infection.,2025 Mar 11,,,
40136419,A Pilot Study on the Role of TRAFs in the Development of SARS-CoV-2 Infection Before and After Immunization with AstraZeneca Chadox1 in Mice.,2025 Feb 28,,,
40136351,"COVID-19 Pandemic Impact on Delays in Diagnosis and Treatment for Cervical Cancer in Montreal, Canada.",2025 Mar 3,,,
40136226,"The extent of carbapenem-resistant encoding genes in Klebsiella pneumoniae from COVID-19 and non-COVID-19 patients in a tertiary care center, Saudi Arabia.",2025,,,
40136225,Prevalence of invasive yeast infections in a COVID-19 intensive care unit in northeastern Brazil.,2025,,,
40136217,Assessment of mortality due to severe SARS-CoV-2 infection in public and private intensive care units in Brazil: a multicenter retrospective cohort study.,2025,,,
40136213,Did the COVID-19 pandemic influence the use of psychotropic medications by university students and LGBTQIAPN+? A Brazilian multicenter study.,2025,,,
40136202,An institutional COVID-19 initiative: creation of a biobank and serological data analysis in pre- and post-vaccination cohorts.,2025,,,
40136172,"[The role of the Brazilian Society of Bioethics and the ""Frente pela Vida"" in the COVID-19 pandemic from the perspective of critical bioethics].",2025 Mar,,,
40136171,[Modeling of COVID-19 in Brazil and the interplay between Academia and health managers during the Pandemic].,2025 Mar,,,
40136151,How the COVID-19 pandemic affected routine child vaccination: an integrative review.,2025,,,
40136060,Mortality by Cause of Death in Brazil: A Research Note on the Effects of the COVID-19 Pandemic and Contribution to Changes in Life Expectancy at Birth.,2025 Mar 26,,,
40136024,"Neutralization and spike stability of JN.1-derived LB.1, KP.2.3, KP.3, and KP.3.1.1 subvariants.",2025 Mar 26,,,
40135966,Turnover and Intention to Leave Among Belgian Healthcare Workers After COVID-19: A Two-Year Longitudinal Cohort Study.,2025 Mar 26,,,
40135916,Post-pandemic upsurge in Group A Streptococcus infections at an Italian tertiary university hospital.,2025 Mar 26,,,
40135900,Reducing tuberculosis transmission by genotype-based contact tracing coupled with public health containment measures: a case study during the COVID-19 pandemic in Taiwan.,2025 Mar 26,,,
40135898,Early 2022 breakthrough infection sera from India target the conserved cryptic class 5 epitope to counteract immune escape by SARS-CoV-2 variants.,2025 Mar 26,,,
40135895,"Abortive PDCoV infection triggers Wnt/β-catenin pathway activation, enhancing intestinal stem cell self-renewal and promoting chicken resistance.",2025 Mar 26,,,
40135879,"Role of glycosylation mutations at the N-terminal domain of SARS-CoV-2 XEC variant in immune evasion, cell-cell fusion, and spike stability.",2025 Mar 26,,,
40135792,Immune Dysregulation in HIV and COVID-19 Co-infection: Therapeutic Implications.,2025 Mar,,,
